Name,Program size,.bss,.rodata,.text,Freq,Type,Cgroup,Nice,Type
gedit,4424,8,87,690,45,1,7,-8,A
firefox,119308,1328,5567,73919,45,1,8,-12,A
nautilus,1427345,4592,158999,805698,45,1,9,-16,A
pcmanfm,239329,584,16048,106226,45,1,8,-12,A
tail,61458,456,9154,36633,45,2,7,-8,C
java,2389,8,72,450,45,2,6,-4,C
vim,2483917,49392,142121,1726114,45,2,8,-12,C
dbus-deamon,220902,1720,20595,126802,45,3,0,99,D
sendmail,1505485,685336,111182,603641,45,3,0,99,D
ntpd,1063217,334728,139347,471193,45,3,0,99,D
metacity,589741,816,83456,359746,45,4,9,-16,F
netns,7786,8,741,2834,45,5,0,99,K
pm,56571,112,7236,34648,45,5,0,99,K
sshd,829976,36384,198469,451778,45,6,8,-12,N
snmpd,24637,16,3517,8242,45,6,7,-8,N
avahi-daemon,121933,648,24235,59474,45,7,0,99,O
linux32 (setarch),10985,48,3552,3305,45,7,0,99,O
mm.out,3189,8,28,1298,45,2,6,-4,C
grep,215700,7840,13347,158233,45,2,7,-8,C
gzip,422653,330376,11648,62538,45,2,7,-8,C
gedit,4424,8,87,690,35,1,6,-4,A
firefox,119308,1328,5567,73919,35,1,7,-8,A
nautilus,1427345,4592,158999,805698,35,1,8,-12,A
pcmanfm,239329,584,16048,106226,35,1,7,-8,A
tail,61458,456,9154,36633,35,2,6,-4,C
java,2389,8,72,450,35,2,5,0,C
vim,2483917,49392,142121,1726114,35,2,7,-8,C
dbus-deamon,220902,1720,20595,126802,35,3,0,99,D
sendmail,1505485,685336,111182,603641,35,3,0,99,D
ntpd,1063217,334728,139347,471193,35,3,0,99,D
metacity,589741,816,83456,359746,35,4,8,-12,F
netns,7786,8,741,2834,35,5,0,99,K
pm,56571,112,7236,34648,35,5,0,99,K
sshd,829976,36384,198469,451778,35,6,7,-8,N
snmpd,24637,16,3517,8242,35,6,6,-4,N
avahi-daemon,121933,648,24235,59474,35,7,0,99,O
linux32 (setarch),10985,48,3552,3305,35,7,0,99,O
mm.out,3189,8,28,1298,35,2,5,0,C
grep,215700,7840,13347,158233,35,2,6,-4,C
gzip,422653,330376,11648,62538,35,2,6,-4,C
gedit,4424,8,87,690,25,1,7,-8,A
firefox,119308,1328,5567,73919,25,1,6,-4,A
nautilus,1427345,4592,158999,805698,25,1,5,0,A
pcmanfm,239329,584,16048,106226,25,1,6,-4,A
tail,61458,456,9154,36633,25,2,5,0,C
java,2389,8,72,450,25,2,4,4,C
vim,2483917,49392,142121,1726114,25,2,6,-4,C
dbus-deamon,220902,1720,20595,126802,25,3,0,99,D
sendmail,1505485,685336,111182,603641,25,3,0,99,D
ntpd,1063217,334728,139347,471193,25,3,0,99,D
metacity,589741,816,83456,359746,25,4,7,-8,F
netns,7786,8,741,2834,25,5,0,99,K
pm,56571,112,7236,34648,25,5,0,99,K
sshd,829976,36384,198469,451778,25,6,6,-4,N
snmpd,24637,16,3517,8242,25,6,5,0,N
avahi-daemon,121933,648,24235,59474,25,7,0,99,O
linux32 (setarch),10985,48,3552,3305,25,7,0,99,O
mm.out,3189,8,28,1298,25,2,4,4,C
grep,215700,7840,13347,158233,25,2,5,0,C
gzip,422653,330376,11648,62538,25,2,5,0,C
gedit,4424,8,87,690,15,1,6,-4,A
firefox,119308,1328,5567,73919,15,1,5,0,A
nautilus,1427345,4592,158999,805698,15,1,4,4,A
pcmanfm,239329,584,16048,106226,15,1,5,0,A
tail,61458,456,9154,36633,15,2,4,4,C
java,2389,8,72,450,15,2,3,8,C
vim,2483917,49392,142121,1726114,15,2,5,0,C
dbus-deamon,220902,1720,20595,126802,15,3,0,99,D
sendmail,1505485,685336,111182,603641,15,3,0,99,D
ntpd,1063217,334728,139347,471193,15,3,0,99,D
metacity,589741,816,83456,359746,15,4,6,-4,F
netns,7786,8,741,2834,15,5,0,99,K
pm,56571,112,7236,34648,15,5,0,99,K
sshd,829976,36384,198469,451778,15,6,5,0,N
snmpd,24637,16,3517,8242,15,6,4,4,N
avahi-daemon,121933,648,24235,59474,15,7,0,99,O
linux32 (setarch),10985,48,3552,3305,15,7,0,99,O
mm.out,3189,8,28,1298,15,2,3,8,C
grep,215700,7840,13347,158233,15,2,4,4,C
gzip,422653,330376,11648,62538,15,2,4,4,C
gedit,4424,8,87,690,5,1,5,0,A
firefox,119308,1328,5567,73919,5,1,4,4,A
nautilus,1427345,4592,158999,805698,5,1,3,8,A
pcmanfm,239329,584,16048,106226,5,1,4,4,A
tail,61458,456,9154,36633,5,2,3,8,C
java,2389,8,72,450,5,2,2,12,C
vim,2483917,49392,142121,1726114,5,2,4,4,C
dbus-deamon,220902,1720,20595,126802,5,3,0,99,D
sendmail,1505485,685336,111182,603641,5,3,0,99,D
ntpd,1063217,334728,139347,471193,5,3,0,99,D
metacity,589741,816,83456,359746,5,4,5,0,F
netns,7786,8,741,2834,5,5,0,99,K
pm,56571,112,7236,34648,5,5,0,99,K
sshd,829976,36384,198469,451778,5,6,4,4,N
snmpd,24637,16,3517,8242,5,6,3,8,N
avahi-daemon,121933,648,24235,59474,5,7,0,99,O
linux32 (setarch),10985,48,3552,3305,5,7,0,99,O
mm.out,3189,8,28,1298,5,2,2,12,C
grep,215700,7840,13347,158233,5,2,3,8,C
gzip,422653,330376,11648,62538,5,2,3,8,C
gedit,4424,8,87,690,0,1,4,4,A
firefox,119308,1328,5567,73919,0,1,3,8,A
nautilus,1427345,4592,158999,805698,0,1,2,12,A
pcmanfm,239329,584,16048,106226,0,1,3,8,A
tail,61458,456,9154,36633,0,2,2,12,C
java,2389,8,72,450,0,2,1,16,C
vim,2483917,49392,142121,1726114,0,2,3,8,C
dbus-deamon,220902,1720,20595,126802,0,3,0,99,D
sendmail,1505485,685336,111182,603641,0,3,0,99,D
ntpd,1063217,334728,139347,471193,0,3,0,99,D
metacity,589741,816,83456,359746,0,4,4,4,F
netns,7786,8,741,2834,0,5,0,99,K
pm,56571,112,7236,34648,0,5,0,99,K
sshd,829976,36384,198469,451778,0,6,3,8,N
snmpd,24637,16,3517,8242,0,6,2,12,N
avahi-daemon,121933,648,24235,59474,0,7,0,99,O
linux32 (setarch),10985,48,3552,3305,0,7,0,99,O
mm.out,3189,8,28,1298,0,2,1,16,C
grep,215700,7840,13347,158233,0,2,2,12,C
gzip,422653,330376,11648,62538,0,2,2,12,C
