stat.vsize,stat.endcode,statm.text,status.VmLib,class,stat.comm
137314304,4264604,18,4320,F,(gdm-session-wor)
0,0,0,0,K,(netns)
868352,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
868352,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
974848,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
1146880,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
696320,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
1138688,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
1466368,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
1433600,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
339103744,4754764,137,23236,F,(gnome-panel)
459603968,4747836,136,19160,F,(metacity)
598016,136885440,580,18446744073709500000,C,(kernel32-2.6.24)
1658880,136885440,580,18446744073709600000,C,(kernel32-2.6.24)
43208704,4376244,45,4696,D,(devkit-disks-da)
0,0,0,0,O,(migration/1)
0,0,0,0,K,(jbd2/sdb2-8)
4157440,4328382,33,1588,D,(init)
0,0,0,0,K,(events/1)
65097728,139682103224268,120,6856,N,(sshd)
0,0,0,0,K,(cpuset)
6193152,140511285707196,5,1636,D,(in.talkd)
14974976,4265412,18,1904,C,(talk)
137314304,4264604,18,4320,F,(gdm-session-wor)
0,0,0,0,K,(flush-8:32)
14974976,4265412,18,1904,C,(talk)
0,0,0,0,K,(khelper)
14974976,4265412,18,1904,C,(talk)
263569408,140058317128940,83,20732,N,(httpd)
114647040,4562396,90,2148,O,(linux32.redes)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
696320,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
614400,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
14974976,4265412,18,1904,C,(talk)
14974976,4265412,18,1904,C,(talk)
0,0,0,0,K,(netns)
614400,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
417792,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
970752,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
1150976,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
1470464,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
1454080,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
264724480,140058317128940,83,20732,N,(httpd)
114647040,4562396,90,2148,O,(linux32.redes)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
69603328,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
700416,138354316,938,18446744073709500000,C,(linux-2.6.27.7)
